magnitude,count_at_least,log10_count
2.4,1996,3.3001605369513523
2.5,1977,3.2960066693136723
2.5,1977,3.2960066693136723
2.5,1977,3.2960066693136723
2.5,1977,3.2960066693136723
2.5,1977,3.2960066693136723
2.5,1977,3.2960066693136723
2.5,1977,3.2960066693136723
2.5,1977,3.2960066693136723
2.5,1977,3.2960066693136723
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.6,1800,3.255272505103306
2.7,1643,3.215637563435062
2.7,1643,3.215637563435062
2.7,1643,3.215637563435062
2.7,1643,3.215637563435062
2.7,1643,3.215637563435062
2.7,1643,3.215637563435062
2.8,1495,3.1746411926604483
2.8,1495,3.1746411926604483
2.8,1495,3.1746411926604483
2.8,1495,3.1746411926604483
2.8,1495,3.1746411926604483
2.8,1495,3.1746411926604483
2.8,1495,3.1746411926604483
2.8,1495,3.1746411926604483
2.8,1495,3.1746411926604483
2.9,1383,3.1408221801093106
2.9,1383,3.1408221801093106
2.9,1383,3.1408221801093106
2.9,1383,3.1408221801093106
2.9,1383,3.1408221801093106
2.9,1383,3.1408221801093106
2.9,1383,3.1408221801093106
2.9,1383,3.1408221801093106
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.0,1278,3.1065308538223815
3.1,1203,3.0802656273398448
3.1,1203,3.0802656273398448
3.1,1203,3.0802656273398448
3.1,1203,3.0802656273398448
3.1,1203,3.0802656273398448
3.1,1203,3.0802656273398448
3.1,1203,3.0802656273398448
3.1,1203,3.0802656273398448
3.1,1203,3.0802656273398448
3.2,1142,3.0576661039098294
3.2,1142,3.0576661039098294
3.2,1142,3.0576661039098294
3.2,1142,3.0576661039098294
3.2,1142,3.0576661039098294
3.2,1142,3.0576661039098294
3.2,1142,3.0576661039098294
3.2,1142,3.0576661039098294
3.2,1142,3.0576661039098294
3.2,1142,3.0576661039098294
3.3,1092,3.0382226383687185
3.3,1092,3.0382226383687185
3.3,1092,3.0382226383687185
3.3,1092,3.0382226383687185
3.3,1092,3.0382226383687185
3.3,1092,3.0382226383687185
3.3,1092,3.0382226383687185
3.3,1092,3.0382226383687185
3.4,1044,3.0187004986662433
3.4,1044,3.0187004986662433
3.4,1044,3.0187004986662433
3.4,1044,3.0187004986662433
3.4,1044,3.0187004986662433
3.4,1044,3.0187004986662433
3.4,1044,3.0187004986662433
3.5,994,2.997386384397313
3.5,994,2.997386384397313
3.5,994,2.997386384397313
3.5,994,2.997386384397313
3.5,994,2.997386384397313
3.5,994,2.997386384397313
3.6,965,2.9845273133437926
3.6,965,2.9845273133437926
3.6,965,2.9845273133437926
3.6,965,2.9845273133437926
3.7,933,2.9698816437465
3.7,933,2.9698816437465
3.7,933,2.9698816437465
3.7,933,2.9698816437465
3.7,933,2.9698816437465
3.8,912,2.959994838328416
3.8,912,2.959994838328416
3.8,912,2.959994838328416
3.8,912,2.959994838328416
3.9,898,2.9532763366673045
4.0,874,2.941511432634403
4.0,874,2.941511432634403
4.0,874,2.941511432634403
4.0,874,2.941511432634403
4.0,874,2.941511432634403
4.1,842,2.9253120914996495
4.1,842,2.9253120914996495
4.1,842,2.9253120914996495
4.2,787,2.8959747323590648
4.3,705,2.848189116991399
4.4,607,2.7831886910752575
4.5,501,2.699837725867246
4.6,392,2.593286067020457
4.7,311,2.4927603890268375
4.7,311,2.4927603890268375
4.8,250,2.3979400086720375
4.9,205,2.311753861055754
5.0,142,2.1522883443830563
5.1,108,2.03342375548695
5.2,88,1.9444826721501687
5.3,59,1.7708520116421442
5.4,39,1.591064607026499
5.5,29,1.462397997898956
5.6,21,1.3222192947339193
5.7,15,1.1760912590556813
5.8,13,1.1139433523068367
5.9,11,1.0413926851582251
6.0,8,0.9030899869919435
6.2,6,0.7781512503836436
6.3,4,0.6020599913279624
6.4,3,0.47712125471966244
6.5,2,0.3010299956639812
